source,raw_text
youtube,"thích mấy cái series mà 2 anh/chị xuất hiện chung, coi tếu tếu vui vui, mà cũng vừa xem được du lịch, ẩm thực, e nghĩ là nên có nhiều series như vầy ạ."
youtube,"meeeeeeeeee tập này lắm luônnn, em ước 1 lần đi hàn quốc để nhìn ngắm thôi cũng được tại hong có chi phí trải nghiệm ăn uống nhiều, coi tập này bị ghiền bên HQ luôn, 2 vợ chồng dễ thương quá ạ 😍 chúc anh chị nhiều sức khoẻ và review nhiều hơn em xem 🥰🥰"
youtube,Tui thích cặp này lắm luôn
youtube,"<a href=""https://www.youtube.com/watch?v=ZeXK3xLj-WU&amp;t=1395"">23:15</a> Hari: &quot; Ăn có phước chứ sao ăn ở dơ...&quot; như người Việt luôn trời. Biết từ phước đồ nữa chứ. Để ý là Thành vì dẫn chuyện mới ăn trước chứ ăn rất để ý đến vợ nha, ăn 1 miếng đầu là cho vợ ăn liền. Hai vợ chồng nhìn hồn nhiên, vô tư, mê ăn, hợp cạ quá"
youtube,"Trong tập có chị hari lâu lắm rồi, chị hari dễ thương quá tr ơi"
youtube,cười điên luôn á trời hâhhaha
youtube,Ha.. 😂..Cặp vợ chồng này Dzui khủng ❤
youtube,❤Dzui quá xà Dzui..vợ ăn cây kem mè😂
youtube,đã dc coi đường phố hàn quốc dc coi đồ ăn mà nói chiện hài hước như a xìn nữa thì dui qá rồi coi k thấy chán lun
youtube,"Sao tui thích tập này ghê , 2vc thấy cưng dthuong hen ❤"
youtube,Ê dễ thương quá à trrrr ❤😊
youtube,"Bà Hari ăn nhìn ngon xỉu, dthw cực kì, ông Thành thì cưng chiều thui rùi luôn ấy"
youtube,"Dù gì cũng sẵn mập rồi, hổng sao hén ?"
youtube,Hari Won dễ thương
youtube,da khô mực? đó không phải da cá như takoyaki hả ta
youtube,"Ủa anh, tập mới đâuuuuuuu"
youtube,"<a href=""https://www.youtube.com/watch?v=ZeXK3xLj-WU&amp;t=840"">14:00</a> ổng nói tiếng Việt ko bt ngta hiểu ko mà tui nghe tui mắc cười"
youtube,Tuy ko quay đc cho lắm nhưng mà video đáng yêu quá
youtube,Mê hai vk ck qua ❤❤❤❤
youtube,😅😅😅😅kkkkkkkk  cắn  hết  luôn cái  bánh  còn  cái  vỏ  không  .thật  dễ thương
youtube,Chưa ra tập 15 à
youtube,Ê ý là ai hoi á🗣🔥
youtube,cặp đôi vợ chồng siêu dễ thương. Hari won  với tran thành tuyệt vời hợp nhau  dễ thương quá
youtube,Cái đó không phải da của khô mực mà là cá ngừ bào khô
youtube,Thích mấy chiếc vlog ăn uống của 2 vk ck như này dữ lun á
youtube,Không thể phủ nhận Trấn Thành: tài giỏi nhưng lại rất đời!
youtube,Con coi mà bị ghiền luôn á chú Thành 😂
youtube,"em xin lỗi a thành,chị hari quá đẹp không cưỡng đc .nhưng e mê a thành hơn .kkk"
youtube,Rồi cuối cùng tại sao quay món ăn lại bị giựt vậy
youtube,Ai nói j nói mình luôn ủng hộ trấn thành
youtube,Hay quá à ❤
youtube,"<a href=""https://www.youtube.com/watch?v=ZeXK3xLj-WU&amp;t=1611"">26:51</a> cũng may bã xào không biết tiếng Việt 😂"
youtube,Ủa t6 này hok có tập mới hở mng?
youtube,Anh Thành dễ thương quớ 😊❤
youtube,tập cuối mùa 2 rồi hả anhhh
youtube,Phải chi hari sài son dưỡng thì đẹp xuất sắc
youtube,"Năng lượng ,tích cực, hợp tính nhau quá đi chơi vậy mới vui nè"
youtube,"Bà Hari bả cưng ghê trời, tui coi 2 ng tui hả họng cười miết luôn cha 😀😂😂🤣🤣"
youtube,Tuần này chưa có tập mới ạ chú Xìn
youtube,"Hai vợ chồng cưng xĩu á ,mãi yêu hai vo chồng Xìn nhe."
youtube,Xem 2ac dễ thương xĩu😂😂😂❤❤❤
youtube,"ai nói gì thì nói tôi vẫn yêu thích Trấn Thành, tài giỏi,tình cảm và có tâm, hai vk ck dễ thương❤❤❤❤❤❤❤❤"
youtube,xem mà cười xửu ❤❤❤❤❤❤❤❤❤❤❤❤❤❤
youtube,"Tôi thể chứ bà Hari với ông xìn đung kiểu sinh ra phải vồ lấy nhau ý 😂 2 vck dễ thương xỉu luôn ý , tôi thích 2 vch nhà này ghê ý ! Mong 2 ông bà mãi mãi happy nha 🎉❤"
youtube,Kính Quỳnh Anh Shyn tặng hả anh !!
youtube,Trấn Thành và Hariwon làm video kiểu này hay quá
youtube,Tập này hay ở chỗ là 2 vơ chồng đi thoải mái ko có ejkip e cũng gì cả !!! Tập đáng coi nhất luôn á
youtube,Ủa nay k có mới à mn
youtube,hnay ko có siêu thực thành hả mn
youtube,Hari trẻ mãi k già luon áa
youtube,Hàn - Anh - Việt  nhất thể 😂😂😂 thêm mấy khúc biểu cảm hài dữ. Có bộ bt21 khúc cuối video nhìn cưng hen
youtube,Bưởi đỏ kêu là ruby
youtube,Ông Xìn ổng thấy thương😂 nói chiện với người Hàn mà ổng “dạ cảm ơn” thấy cưng. Rồi ngta hiểu hông trời😂
youtube,Tại sao a thành k đeo nhẫn cưới nhỉ
youtube,"Tập này quá là dễ thương chú Thành oiiii <a href=""UCkszU2WH9gy1mb0dV-11UJg/hands-yellow-heart-red""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/hands-yellow-heart-red""></a>"
youtube,Tập này hay quá
youtube,Đúng kiểu khẩu hình miệng  người Hàn ăn nhìn đáng yêu thật 😅
youtube,Dễ thương quá
youtube,"K phải da của khô mực a ơi, đó là cá ngừ bào á"
youtube,"Ko hiểu sao mấy anh chị cứ hủy theo dõi anh Xìn vậy ta. Thực sự có gì đâu mà mọi người ghét anh ấy như vậy, anh ấy thực sự là một trong những nạn nhân của CĐM là có thật🙏🙏🙏🙏"
youtube,Lấy đúng người cái Hari trẻ ra
youtube,Serie đi Hàn mukbang xem cuốn dã man. Ai thấy vợ chồng Xìn Ri dễ thương thì điểm danh nào!
youtube,Siêu thực thành tập này chắc là tập cuối p2 đúng k mn
youtube,Dễ thương quá à. Mong thêm nhiều vlog của 2 vợ chồng. ❤❤
youtube,Ở bên trấn thành hài hước hari chẳng bao giờ buồn nhỉ
youtube,Mê ông bà này ghê
youtube,Cập vk ck dễ thương qua s
youtube,"Mê a,c lắm luôn lúc nào cũng vui vẻ"
youtube,Thích cập vợ chồng a xìn lắm luôn
youtube,Anh Xìn nói tiếng Hàn tone tiếng Trung cười xỉu 😂 dễ thương quá anh chị ơi
youtube,Hariwon ăn miếng nào hết miếng đó=)
